KODE WILAYAH;PERUSAHAAN;SEKTOR;JML TK;ALAMAT;MAPS;DISABILITAS;JUMLAH BPJS KETENAGAKERJAAN;JUMLAH BPJS KESEHATAN;PP/PKB;LKS BIPARTIT
35.18.13;BFI Finance Cbg Nganjuk;Perbankan;75;Jl. Yos Sudarso No.82, Nganjuk, Ganung Kidul, Kec. Nganjuk, Kabupaten Nganjuk, Jawa Timur ;https://www.google.com/maps/place/BFI+NGANJUK/@-7.5955103,111.8930877,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784b4add333fa7:0xb1c341c653dec49c!8m2!3d-7.5955156!4d111.8956626!16s%2Fg%2F11gjt8nn01?entry=ttu ;0;0;0;;
35.18.04;PT. Bayu Bagus Bakery;Industri Roti;195; Jl. Semeru, Beran, Tanjungrejo, Kec. Loceret, Kabupaten Nganjuk, Jawa Timur;https://www.google.com/maps/place/PT+Bayu+Bagus+Bakery/@-7.5669756,112.0709405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784722817720c9:0x3e38723c61e85a20!8m2!3d-7.5669809!4d112.0735154!16s%2Fg%2F11h_w2d2v9?entry=ttu ;2;162;0;;
35.18.05;Hutama Bangunnusa;Jasa Konstruksi;200;"Ds Cerme RT.03 RW.07 Kec. Pace ; Kabupaten, : Kab. Nganjuk";https://www.google.com/maps/place/Hutama-Bangunnusa,KSO/@-7.4966148,111.8928086,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7835ace401b3d9:0xd4f8d21419d8725d!8m2!3d-7.4966201!4d111.8953835!16s%2Fg%2F11hdtts3_9?entry=ttu ;0;0;0;;
35.18.13;PT. Wahana Ottomitra Multiartha Tbk ;Perbankan;51;l. Raya Mastrip I No. 22 RT. 005 RW. 003 Kel. Ganungkidul Kec. Nganjuk;https://www.google.com/maps/place/WOM+Finance+Cabang+Nganjuk/@-7.595169,111.892555,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784bf436980bc3:0x3504b3dcaaf4903a!8m2!3d-7.5951743!4d111.8951299!16s%2Fg%2F11r_x3bc94?entry=ttu ;0;0;0;;
35.18.16;PT. Kerta Rajasa Raya;Industri Karung Jumbo Bag;450;Sugihan, Mlorah, Kec. Rejoso, Kabupaten Nganjuk, Jawa Timur 64453;https://www.google.com/maps/place/PT+KERTA+RAJASA+RAYA/@-7.5543445,111.9124792,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784a778597549b:0x32f6d1ef25768bf0!8m2!3d-7.5543498!4d111.9150541!16s%2Fg%2F11c1z7ckhg?entry=ttu ;0;359;0;;
35.18.17;PT. Sukses Abadi Indonesia;Industri Sepatu;4615;Jl. Gondang Lengkong, Desa Gondang. Kec. Gondang, Dusun Karangpedat, Depan Kafe, Kebon Jati, Nganjuk Regency, East Java;https://www.google.com/maps/place/PT+SUKSES+ABADI+INDONESIA/@-7.5295214,111.9616639,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78371473a55b35:0x2d2f47963ff1c333!8m2!3d-7.5295267!4d111.9642388!16s%2Fg%2F11nx2v0_np?entry=ttu ;0;4615;19;;√
35.18.13;Toko Mega Elektronik & Handphone;Retail Elektronik;71;Jl. Ahmad Yani No.62, Payaman, Kec. Nganjuk, Kabupaten Nganjuk, Jawa Timur 64418;https://www.google.com/maps/place/Mega+Elektronik+dan+Handphone+Nganjuk/@-7.6051957,111.8977487,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784b0404113263:0xabeda2c53f3e85a8!8m2!3d-7.605201!4d111.9003236!16s%2Fg%2F1hm56zdxt?entry=ttu ;0;71;0;;
35.18.13;PDAM Nganjuk;Penyedia Air Bersih;102;Jl. Dermojoyo No.65, Payaman, Kec. Nganjuk, Kabupaten Nganjuk, Jawa Timur 64418;https://www.google.com/maps/place/PDAM+Kabupaten+Nganjuk/@-7.6111212,111.9016388,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784b0a7401ae3d:0xc3f5b0bd3f0fda5b!8m2!3d-7.6111265!4d111.9042137!16s%2Fg%2F1s04bryzz?entry=ttu ;0;102;1;;
35.18.13;KSP Tunas Artha Mandiri ;Perbankan;983;Jl. Dermojoyo No.34, Payaman, Kec. Nganjuk, Kabupaten Nganjuk, Jawa Timur 64418;https://www.google.com/maps/place/KSPPS+Tunas+Artha+Mandiri/@-7.6110728,111.883614,14z/data=!4m10!1m2!2m1!1sKSP+Tunas+Artha+Mandiri++nganjuk!3m6!1s0x2e784b0a6a6ca791:0x6af4eaf8f3d6063c!8m2!3d-7.6113661!4d111.9033368!15sCiBLU1AgVHVuYXMgQXJ0aGEgTWFuZGlyaSAgbmdhbmp1a5IBFGZlZGVyYWxfY3JlZGl0X3VuaW9u4AEA!16s%2Fg%2F11cn69q4qr?entry=ttu ;0;977;0;;
35.18.16;PT. Mitra Saruta Indonesia;Industri Sarung Tangan;1557;Jl. Raya Rejoso KM 5.5, Rejoso, Mlorah, Rejoso, Sugihwaras, Mlorah, Kec. Rejoso, Kabupaten Nganjuk, Jawa Timur 64453;https://www.google.com/maps/place/PT.+Mitra+Saruta+Indonesia/@-7.5588847,111.9118323,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784a797ff8836f:0x5d518b02fd9f462e!8m2!3d-7.55889!4d111.9144072!16s%2Fg%2F11bxj9qhq0?entry=ttu ;3;0;0;;√
